EVENT_ID,START,END,LEVEL,MAX_ERROR,MEAN_ERROR,REGISTERS,DURATION,DURATION_MIN,DURATION_H
7,2020-05-19 16:45:00,2020-05-19 17:30:00,LOW,12.648895472867263,11.205835396502124,4,0 days 01:00:00,60.0,1.0
8,2020-05-20 06:30:00,2020-05-20 06:30:00,LOW,8.773825439963204,8.773825439963204,1,0 days 00:15:00,15.0,0.25
12,2020-05-21 08:15:00,2020-05-21 08:15:00,LOW,8.56893374866088,8.56893374866088,1,0 days 00:15:00,15.0,0.25
15,2020-05-22 11:30:00,2020-05-22 11:45:00,LOW,9.342081807295962,8.844460519018025,2,0 days 00:30:00,30.0,0.5
17,2020-05-22 12:15:00,2020-05-22 13:15:00,LOW,13.25211030450178,11.325901026765175,5,0 days 01:15:00,75.0,1.25
32,2020-06-03 17:45:00,2020-06-03 18:00:00,LOW,9.45101966886423,8.86496643170409,2,0 days 00:30:00,30.0,0.5
33,2020-06-04 06:30:00,2020-06-04 06:45:00,LOW,9.53472478050817,9.416649878729539,2,0 days 00:30:00,30.0,0.5
37,2020-06-06 07:00:00,2020-06-06 07:00:00,LOW,9.113426176399887,9.113426176399887,1,0 days 00:15:00,15.0,0.25
39,2020-06-06 11:45:00,2020-06-06 12:15:00,LOW,9.273231624536768,8.611167231487729,3,0 days 00:45:00,45.0,0.75
42,2020-06-07 13:00:00,2020-06-07 13:15:00,LOW,10.831505812669176,9.759259665084638,2,0 days 00:30:00,30.0,0.5
43,2020-06-07 13:30:00,2020-06-07 13:45:00,MEDIUM,18.258205011432462,17.284086604774632,2,0 days 00:30:00,30.0,0.5
44,2020-06-07 14:00:00,2020-06-07 14:15:00,LOW,13.745625908292991,13.387963185982422,2,0 days 00:30:00,30.0,0.5
47,2020-06-08 07:45:00,2020-06-08 07:45:00,LOW,8.568222721089118,8.568222721089118,1,0 days 00:15:00,15.0,0.25
49,2020-06-08 18:00:00,2020-06-08 18:00:00,LOW,8.82071776947249,8.82071776947249,1,0 days 00:15:00,15.0,0.25
50,2020-06-09 06:15:00,2020-06-09 06:15:00,LOW,8.916936790686941,8.916936790686941,1,0 days 00:15:00,15.0,0.25
60,2020-06-17 15:30:00,2020-06-17 16:30:00,LOW,12.674673735459116,10.461944694965236,5,0 days 01:15:00,75.0,1.25
